company,industry,funds_raised_millions,max_percentage
OneWeb,Aerospace,3000,0.85
Astra,Aerospace,100,0.25
Astra,Aerospace,300,0.16
Yojak,Construction,3,0.50
RenoRun,Construction,163,0.43
Rhumbix,Construction,35,0.27
Nearmap,Construction,15,0.20
Bridgit,Construction,36,0.13
RenoRun,Construction,163,0.12
Nearmap,Construction,15,0.10
Procore,Construction,649,0.09
Katerra,Construction,1300,0.07
Katerra,Construction,1200,0.03
"Sandbox VR",Consumer,82,0.80
"Panda Squad",Consumer,1,0.75
Parler,Consumer,36,0.75
"Magic Leap",Consumer,2600,0.50
Twitter,Consumer,12900,0.50
Eventbrite,Consumer,332,0.45
Rover,Consumer,310,0.41
Memmo,Consumer,24,0.40
VSCO,Consumer,90,0.35
Glossier,Consumer,266,0.33
Gather,Consumer,76,0.33
Juul,Consumer,1500,0.30
Juul,Consumer,1500,0.30
SweetEscape,Consumer,7,0.30
Thumbtack,Consumer,423,0.30
Clutter,Consumer,296,0.30
IRL,Consumer,197,0.25
Cameo,Consumer,165,0.25
Mozilla,Consumer,2,0.25
Superhuman,Consumer,108,0.22
Jiobit,Consumer,12,0.21
Afterverse,Consumer,0,0.20
Airtime,Consumer,33,0.20
SoundCloud,Consumer,542,0.20
NCSoft,Consumer,240,0.20
GoPro,Consumer,288,0.20
Snap,Consumer,4900,0.20
"Wildlife Studios",Consumer,260,0.20
Yahoo,Consumer,6,0.20
ShareChat,Consumer,1700,0.20
BookMyShow,Consumer,224,0.18
StyleSeat,Consumer,40,0.17
Linktree,Consumer,165,0.17
"Jam City",Consumer,652,0.17
Yelp,Consumer,56,0.17
Playtika,Consumer,0,0.15
"Tilting Point",Consumer,235,0.14
Thumbtack,Consumer,698,0.14
Life360,Consumer,158,0.14
Meta,Consumer,26000,0.13
Lightricks,Consumer,335,0.12
Sonos,Consumer,455,0.12
Iflix,Consumer,348,0.12
Vimeo,Consumer,450,0.11
Skillz,Consumer,287,0.10
Twitter,Consumer,12900,0.10
Houzz,Consumer,613,0.10
GetNinjas,Consumer,16,0.10
"Mobile Premier League",Consumer,375,0.10
iRobot,Consumer,30,0.10
ByteDance,Consumer,9400,0.10
Zhihu,Consumer,892,0.10
Xiaohongshu,Consumer,917,0.09
Viber,Consumer,0,0.08
Houzz,Consumer,613,0.08
"Match Group",Consumer,0,0.08
Niantic,Consumer,770,0.08
Picsart,Consumer,195,0.08
Eventbrite,Consumer,557,0.08
iRobot,Consumer,30,0.07
Kabam,Consumer,244,0.07
Vimeo,Consumer,450,0.06
Playtika,Consumer,0,0.06
Google,Consumer,26,0.06
DraftKings,Consumer,719,0.04
Dazn,Consumer,0,0.02
Hodlnaut,Crypto,0,0.80
Ignite,Crypto,9,0.50
"Protego Trust Bank",Crypto,70,0.50
Ocavu,Crypto,11,0.48
Buenbit,Crypto,11,0.45
Swyftx,Crypto,0,0.40
WazirX,Crypto,0,0.40
"Octopus Network",Crypto,8,0.40
Lemon,Crypto,17,0.38
Luno,Crypto,13,0.35
"Candy Digital",Crypto,100,0.33
"Prime Trust",Crypto,176,0.33
NYDIG,Crypto,1400,0.33
SuperRare,Crypto,9,0.30
Elliptic,Crypto,40,0.30
Bybit,Crypto,0,0.30
Crypto.com,Crypto,156,0.30
Genesis,Crypto,0,0.30
Huobi,Crypto,2,0.30
Kraken,Crypto,134,0.30
Banxa,Crypto,13,0.30
Bybit,Crypto,0,0.30
BitMEX,Crypto,0,0.30
Blockchain.com,Crypto,490,0.28
Bitpanda,Crypto,546,0.27
BitMEX,Crypto,0,0.25
Shakepay,Crypto,45,0.25
Blockchain.com,Crypto,490,0.25
"Unstoppable Domains",Crypto,7,0.25
Celsius,Crypto,864,0.25
Coinsquare,Crypto,98,0.24
Exodus,Crypto,60,0.22
"Dapper Labs",Crypto,607,0.22
Swyftx,Crypto,0,0.21
Huobi,Crypto,2,0.20
"Dapper Labs",Crypto,607,0.20
Crypto.com,Crypto,0,0.20
"Protocol Labs",Crypto,10,0.20
CoinJar,Crypto,1,0.20
Genesis,Crypto,0,0.20
Polygon,Crypto,451,0.20
OpenSea,Crypto,427,0.20
Coinbase,Crypto,549,0.20
BlockFi,Crypto,1000,0.20
Quidax,Crypto,3,0.20
Coinbase,Crypto,549,0.18
"Unchained Capital",Crypto,33,0.15
2TM,Crypto,250,0.15
Bakkt,Crypto,932,0.15
Messari,Crypto,61,0.15
ConsenSys,Crypto,10,0.14
Koinly,Crypto,0,0.14
"Digital Currency Gruop",Crypto,0,0.13
BitGo,Crypto,69,0.12
2TM,Crypto,250,0.12
ConsenSys,Crypto,726,0.11
Bitso,Crypto,378,0.11
Immutable,Crypto,279,0.11
"Mythical Games",Crypto,260,0.10
Gemini,Crypto,423,0.10
Gemini,Crypto,423,0.10
TIFIN,Crypto,204,0.10
"Amber Group",Crypto,328,0.10
ZenLedger,Crypto,25,0.10
Matrixport,Crypto,100,0.10
"Core Scientific",Crypto,169,0.10
Bullish,Crypto,300,0.08
Gemini,Crypto,423,0.07
Immutable,Crypto,279,0.06
Abra,Crypto,106,0.05
Fireblocks,Crypto,1000,0.05
Chainalysis,Crypto,536,0.05
BitOasis,Crypto,30,0.05
Crypto.com,Crypto,156,0.05
NS8,Data,158,0.95
Rasa,Data,40,0.40
GrayMeta,Data,7,0.40
Matterport,Data,114,0.34
Validity,Data,0,0.33
Revelate,Data,26,0.30
NuoDB,Data,85,0.29
Prisma,Data,56,0.28
InfluxData,Data,119,0.27
BitTitan,Data,46,0.27
"Citrine Informatics",Data,64,0.27
Anodot,Data,64,0.27
DataRobot,Data,1000,0.26
"Domino Data Lab",Data,223,0.25
Hyperscience,Data,289,0.25
SafeGraph,Data,61,0.25
"Pecan AI",Data,116,0.25
"Scale AI",Data,602,0.20
Astronomer,Data,282,0.20
Qumulo,Data,347,0.19
Mixpanel,Data,77,0.19
SQream,Data,77,0.18
"App Annie",Data,156,0.18
"Descartes Labs",Data,58,0.16
Elastic,Data,162,0.13
CloudFactory,Data,78,0.12
Conga,Data,117,0.11
Tray.io,Data,109,0.10
Segment,Data,283,0.10
Verbit,Data,569,0.10
Domo,Data,689,0.10
Pliops,Data,205,0.09
Sisense,Data,274,0.09
NetApp,Data,0,0.08
MariaDB,Data,245,0.08
Confluent,Data,455,0.08
"Bright Machines",Data,250,0.08
OpenText,Data,1100,0.08
Informatica,Data,0,0.07
BigBear.ai,Data,200,0.07
DataRobot,Data,1000,0.07
UiPath,Data,2000,0.06
Fivetran,Data,0,0.05
Code42,Data,138,0.05
UiPath,Data,2000,0.05
"Software AG",Data,344,0.04
Splunk,Data,2400,0.04
Palantir,Data,3000,0.02
Splunk,Data,40,0.01
Treehouse,Education,12,0.90
FrontRow,Education,17,0.75
Wonderschool,Education,24,0.75
"Camp K12",Education,16,0.70
BloomTech,Education,0,0.50
Flockjay,Education,14,0.50
Studio,Education,50,0.40
ContaAzul,Education,37,0.35
"Career Karma",Education,51,0.33
"On Deck",Education,20,0.33
Zenius,Education,20,0.30
Harappa,Education,0,0.30
FrontRow,Education,17,0.30
BookClub,Education,26,0.25
Outschool,Education,240,0.25
"On Deck",Education,20,0.25
MasterClass,Education,461,0.20
Thinkific,Education,22,0.20
Pluralsight,Education,192,0.20
2U,Education,426,0.20
Thinkific,Education,22,0.19
Domestika,Education,130,0.19
Outschool,Education,240,0.18
Nerdy,Education,150,0.17
Unacademy,Education,838,0.17
Degreed,Education,411,0.15
Udacity,Education,235,0.13
Instructure,Education,89,0.12
Unacademy,Education,838,0.10
Udemy,Education,311,0.10
Trybe,Education,40,0.10
LearnUpon,Education,56,0.09
"Lighthouse Labs",Education,0,0.07
Vedantu,Education,292,0.07
"Coding Dojo",Education,2,0.07
ApplyBoard,Education,483,0.06
D2L,Education,168,0.05
Turnitin,Education,0,0.05
Preply,Education,100,0.05
Byju's,Education,5500,0.05
Teachmint,Education,118,0.05
LEAD,Education,166,0.04
Vedantu,Education,292,0.03
Unacademy,Education,838,0.03
"Top Hat",Education,104,0.03
NCX,Energy,78,0.40
"5B Solar",Energy,12,0.25
RigUp,Energy,423,0.25
Turntide,Energy,491,0.20
Wallbox,Energy,167,0.15
Brighte,Energy,145,0.15
Ecobee,Energy,149,0.10
Thimble,Fin-Tech,28,0.33
Clearco,Fin-Tech,681,0.25
Moss,Fin-Tech,150,0.15
ScaleFactor,Finance,103,0.90
Zeitgold,Finance,60,0.72
OPay,Finance,170,0.70
Hash,Finance,58,0.50
"Me Poupe",Finance,0,0.50
"Bright Money",Finance,31,0.50
Lendingkart,Finance,200,0.50
PaisaBazaar,Finance,496,0.50
Numbrs,Finance,78,0.50
Renmoney,Finance,0,0.50
"Lighter Capital",Finance,15,0.49
SynapseFI,Finance,50,0.48
Unison,Finance,40,0.45
Fundbox,Finance,553,0.42
