industry,funding_closed,funding_not_closed
Healthcare,57.0,300.0
Marketing,60.2,187.0
Retail,28.0,376.2
Crypto,153.1,226.0
Education,23.6,290.8
Food,153.5,800.1
Support,12.0,197.9
Transportation,419.0,2513.2
Media,377.2,4522.0
Finance,114.5,407.3
Consumer,26.2,1329.5
Travel,19.6,353.7
Logistics,109.0,417.2
Product,8.0,209.4
Infrastructure,3.7,206.8
Other,10.3,321.1
Recruiting,0.0,85.7
Data,16.0,402.6
"Real Estate",55.0,634.9
Security,14.0,283.6
Aerospace,1.0,1133.3
HR,0.0,163.6
Construction,1600.0,357.9
Fitness,7.0,499.3
Legal,5.0,161.6
