industry,companies_closed,total_companies,percentage_closed
Education,9,62,14.52
Food,13,92,14.13
Product,3,29,10.34
Infrastructure,3,29,10.34
Fitness,2,20,10.00
Retail,13,131,9.92
Crypto,7,71,9.86
Travel,4,43,9.30
"Real Estate",6,67,8.96
Recruiting,2,23,8.70
Support,2,26,7.69
Media,5,65,7.69
Transportation,6,93,6.45
Finance,12,203,5.91
Consumer,5,85,5.88
Healthcare,7,141,4.96
Marketing,5,109,4.59
Other,4,91,4.40
Logistics,1,30,3.33
HR,1,48,2.08
Security,1,52,1.92
Data,1,57,1.75
Sales,0,25,0.00
Hardware,0,12,0.00
