industry,Q2_2020,Q3_2020,Q4_2020,Q1_2021,Q2_2021,Q3_2021,Q4_2021,Q1_2022,Q2_2022,Q3_2022,Q4_2022,Q1_2023
Consumer,4905,318,0,1800,0,1800,0,80,1270,1916,16590,15663
Retail,6964,367,30,1088,0,0,0,1020,3290,3794,12810,13609
Other,423,0,0,395,0,120,0,138,765,3188,2205,28512
Transportation,13710,30,0,200,0,0,0,111,6390,3168,5558,3665
Finance,8186,244,5,0,0,0,0,500,3809,3322,5053,7036
Healthcare,816,55,254,0,0,0,0,750,2399,4627,7282,9770
Food,5432,445,0,2344,0,0,300,710,1893,4499,4186,2705
"Real Estate",2128,56,140,0,0,0,2900,3291,1354,1340,3947,1034
Travel,6665,5025,690,0,0,0,0,0,560,107,970,1539
Hardware,0,0,0,0,0,0,0,0,0,0,605,13223
Education,627,0,8,1800,65,78,0,250,3555,591,4332,1982
Sales,248,1056,0,0,0,0,0,0,30,887,1684,9311
Crypto,91,0,0,0,0,0,0,0,3320,866,4077,2339
Marketing,2262,78,250,21,0,0,0,0,663,1295,1639,3682
Fitness,2221,120,0,0,0,0,0,2800,200,1196,1350,60
Security,210,0,78,0,0,30,0,0,1923,638,1138,1962
Infrastructure,267,30,0,0,160,0,0,0,190,435,4291,332
Media,714,282,0,47,36,0,0,100,738,387,654,2122
Data,744,240,54,20,0,0,70,159,522,218,415,2463
Construction,656,180,0,0,2434,0,0,0,140,70,223,100
Logistics,659,140,0,0,0,0,0,0,409,944,120,1235
Support,278,0,30,0,0,0,0,0,102,570,764,1763
HR,648,64,0,0,0,80,0,0,30,420,288,1183
Recruiting,873,960,0,13,0,0,0,0,0,30,350,0
Product,109,0,0,0,0,0,22,0,168,248,445,151
Legal,195,0,0,0,0,0,0,0,110,30,210,216
Energy,0,0,0,0,0,0,0,0,577,58,0,0
Fin-Tech,0,0,0,0,0,0,0,0,0,215,0,0
Aerospace,110,0,0,0,0,0,0,0,0,100,0,0
Manufacturing,0,0,0,0,0,0,0,0,0,0,0,20
