industry,company,total_laid_off,percentage_share
Consumer,Google,12000,26.559
Consumer,Meta,11000,24.346
Consumer,Twitter,3700,8.189
Consumer,Bytedance,1800,3.984
Consumer,Bytedance,1800,3.984
Consumer,Yahoo,1600,3.541
Consumer,Snap,1280,2.833
Consumer,"Magic Leap",1000,2.213
Consumer,Yelp,1000,2.213
Consumer,Juul,900,1.992
Consumer,Playtika,600,1.328
Consumer,ShareChat,500,1.107
Consumer,Eventbrite,500,1.107
Retail,Amazon,10000,22.929
Retail,Amazon,8000,18.343
Retail,Groupon,2800,6.420
Retail,Wayfair,1750,4.013
Retail,"Stitch Fix",1400,3.210
Retail,Shopify,1000,2.293
Retail,Jumia,900,2.064
Retail,Wayfair,870,1.995
Retail,Shutterfly,800,1.834
Retail,Deliv,669,1.534
Retail,Groupon,500,1.146
Retail,Groupon,500,1.146
Retail,eBay,500,1.146
Retail,Livspace,450,1.032
Transportation,Uber,3700,10.964
Transportation,Uber,3000,8.889
Transportation,Carvana,2500,7.408
Transportation,Carvana,1500,4.445
Transportation,Ola,1400,4.148
Transportation,"GoTo Group",1300,3.852
Transportation,Ola,1000,2.963
Transportation,Lyft,982,2.910
Transportation,Rivian,840,2.489
Transportation,Arrival,800,2.371
Transportation,Reef,750,2.222
Transportation,Cazoo,750,2.222
Transportation,Lyft,700,2.074
Transportation,Uber,600,1.778
Transportation,Cars24,600,1.778
Transportation,Careem,536,1.588
Transportation,TomTom,500,1.482
Transportation,Jump,500,1.482
Transportation,Gojek,430,1.274
Transportation,Bird,406,1.203
Transportation,SWVL,400,1.185
Transportation,Moladin,360,1.067
Transportation,Grab,360,1.067
Transportation,TuSimple,350,1.037
